                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1928,                 3.1807,                 1.4433,                0.83173,                  0.046,                0.17987,                0.12211,                0.99563,                 2.6721,                 1.3885,             0.00024921,             0.00024921,             0.00024921
                      2,                 1.1014,                 2.1074,                 1.3586,                0.83176,                0.20321,                0.19514,                 0.1242,                  1.019,                 1.9088,                 1.4284,             0.00050054,             0.00050054,             0.00050054
                      3,                 1.0953,                 1.9074,                 1.3948,                0.82369,                0.14193,                0.18729,                0.11961,                 1.1941,                 1.9515,                 1.6342,             0.00074679,             0.00074679,             0.00074679
                      4,                 1.1503,                 1.8141,                 1.4001,                0.81481,                0.18533,                0.22334,                0.14089,                 1.1624,                 2.0211,                 1.5562,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.1016,                 1.6636,                 1.3616,                0.86163,                0.23284,                0.27805,                0.16554,                 1.2757,                 1.8028,                 1.6454,             0.00073855,             0.00073855,             0.00073855
                      6,                  1.092,                 1.5925,                 1.3546,                0.83812,                0.29189,                0.30204,                0.18955,                 1.1252,                  1.643,                 1.5067,             0.00073093,             0.00073093,             0.00073093
                      7,                 1.0871,                 1.4942,                  1.352,                0.86496,                 0.2528,                0.33533,                0.20326,                 1.2668,                 1.7242,                 1.6062,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.0669,                 1.4421,                 1.3236,                0.83782,                0.31353,                0.36033,                0.23448,                 1.0655,                 1.4306,                  1.418,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.0343,                 1.4097,                 1.3038,                 0.8555,                0.32227,                0.36488,                0.20348,                 1.1743,                 1.5437,                 1.5948,              0.0007081,              0.0007081,              0.0007081
                     10,                 1.0305,                 1.3093,                 1.3096,                0.85436,                0.35124,                0.36012,                0.22904,                 1.0629,                 1.4046,                 1.4418,             0.00070048,             0.00070048,             0.00070048
                     11,                0.99867,                 1.3125,                 1.2895,                0.85028,                0.27368,                0.34147,                0.22943,                 1.0219,                 1.4906,                 1.4203,             0.00069287,             0.00069287,             0.00069287
                     12,                 1.0005,                 1.3005,                 1.3033,                0.88951,                0.29381,                0.36397,                 0.2527,                 1.0604,                 1.3612,                 1.4012,             0.00068526,             0.00068526,             0.00068526
                     13,                 1.0158,                 1.2523,                 1.3159,                0.90717,                0.35561,                0.39686,                0.27091,                 1.0547,                 1.3518,                 1.4412,             0.00067764,             0.00067764,             0.00067764
                     14,                 1.0052,                 1.2608,                 1.2985,                0.87936,                0.26402,                0.34763,                0.24332,                 1.0452,                 1.4917,                 1.3889,             0.00067003,             0.00067003,             0.00067003
                     15,                0.98268,                 1.1978,                 1.2716,                0.87469,                0.33052,                0.38549,                0.25335,                 1.0085,                 1.3346,                 1.3931,             0.00066242,             0.00066242,             0.00066242
                     16,                0.94841,                 1.1095,                 1.2376,                0.83473,                0.39968,                0.39694,                0.27764,                0.99165,                 1.2948,                 1.3768,              0.0006548,              0.0006548,              0.0006548
                     17,                 0.9621,                 1.1131,                 1.2322,                 0.8653,                0.33693,                0.36986,                0.25951,                0.93089,                  1.296,                 1.3075,             0.00064719,             0.00064719,             0.00064719
                     18,                0.93189,                 1.1058,                  1.224,                0.73424,                0.40485,                0.43291,                0.29781,                0.96033,                 1.2103,                 1.3619,             0.00063958,             0.00063958,             0.00063958
                     19,                0.93104,                 1.0684,                  1.239,                0.67422,                0.41451,                0.39991,                0.28966,                0.94677,                 1.2063,                 1.3529,             0.00063196,             0.00063196,             0.00063196
                     20,                0.92813,                 1.0578,                 1.2333,                0.90775,                0.38586,                0.42715,                0.28787,                 1.0787,                 1.1998,                 1.4142,             0.00062435,             0.00062435,             0.00062435
                     21,                0.94496,                 1.0394,                 1.2439,                0.65548,                0.38087,                0.39491,                0.28934,                0.93784,                  1.276,                 1.3284,             0.00061674,             0.00061674,             0.00061674
                     22,                0.90991,                 1.0276,                 1.2189,                0.69688,                0.36387,                0.39394,                0.27812,                0.94936,                  1.208,                  1.341,             0.00060912,             0.00060912,             0.00060912
                     23,                0.90567,                0.99953,                 1.2077,                0.82787,                0.37132,                0.39584,                0.28845,                0.99479,                 1.3751,                 1.4254,             0.00060151,             0.00060151,             0.00060151
                     24,                0.91048,                0.99166,                 1.2287,                0.71482,                0.39959,                 0.4288,                0.31928,                0.91558,                 1.1386,                 1.2957,              0.0005939,              0.0005939,              0.0005939
                     25,                0.87889,                0.95252,                 1.1989,                0.78463,                0.38499,                0.47377,                0.36317,                 0.8853,                0.94306,                 1.2874,             0.00058629,             0.00058629,             0.00058629
                     26,                0.87413,                0.95641,                 1.2001,                0.77154,                 0.3979,                0.44661,                0.33482,                 0.8802,                 1.0479,                 1.2384,             0.00057867,             0.00057867,             0.00057867
                     27,                0.86503,                0.89958,                 1.2002,                0.74393,                0.39614,                0.45156,                0.34048,                0.91482,                   1.07,                 1.2684,             0.00057106,             0.00057106,             0.00057106
                     28,                0.87055,                0.90327,                 1.1811,                 0.7151,                0.39502,                0.45112,                0.34788,                0.85673,                 1.0096,                 1.2351,             0.00056345,             0.00056345,             0.00056345
                     29,                0.85978,                0.90475,                 1.1868,                0.77386,                0.43083,                0.47453,                0.35346,                0.89519,                0.96396,                 1.2694,             0.00055583,             0.00055583,             0.00055583
                     30,                0.82098,                0.87866,                 1.1613,                0.71686,                0.42784,                0.45528,                0.33519,                0.93928,                0.99453,                 1.2912,             0.00054822,             0.00054822,             0.00054822
                     31,                0.82878,                0.85663,                 1.1669,                0.74105,                0.40988,                 0.4491,                0.33811,                0.89193,                 1.0357,                 1.2736,             0.00054061,             0.00054061,             0.00054061
                     32,                0.84742,                0.89356,                 1.1825,                0.74516,                0.41778,                0.44274,                0.33233,                0.87542,                 1.0614,                 1.2713,             0.00053299,             0.00053299,             0.00053299
                     33,                0.81834,                0.84169,                 1.1639,                0.78737,                0.41686,                0.50371,                0.38136,                0.87629,                 1.0139,                 1.2776,             0.00052538,             0.00052538,             0.00052538
                     34,                0.83181,                0.82616,                  1.157,                0.72387,                0.43074,                0.45675,                0.35744,                0.87351,                0.98001,                  1.255,             0.00051777,             0.00051777,             0.00051777
                     35,                0.83632,                  0.852,                 1.1687,                0.78942,                0.38628,                0.45644,                0.35035,                0.84872,                 1.0177,                 1.2319,             0.00051015,             0.00051015,             0.00051015
                     36,                0.79999,                0.81153,                 1.1556,                0.78418,                0.44039,                0.49388,                 0.3894,                0.85297,                0.87049,                 1.2386,             0.00050254,             0.00050254,             0.00050254
                     37,                0.79818,                0.81105,                 1.1338,                0.77352,                0.43454,                0.47557,                0.36319,                0.87651,                 0.9255,                 1.2644,             0.00049493,             0.00049493,             0.00049493
                     38,                0.80208,                0.77971,                 1.1446,                0.77879,                0.42004,                0.47632,                0.36165,                0.90016,                0.91015,                 1.3113,             0.00048732,             0.00048732,             0.00048732
                     39,                0.77016,                0.75552,                 1.1266,                0.77133,                0.42143,                0.45375,                0.34796,                 0.8479,                0.93131,                 1.2359,              0.0004797,              0.0004797,              0.0004797
                     40,                0.79837,                0.79797,                 1.1542,                0.79879,                0.40552,                0.49797,                0.38275,                 0.8535,                0.92293,                 1.2277,             0.00047209,             0.00047209,             0.00047209
                     41,                0.77003,                0.76973,                 1.1377,                0.75062,                0.42449,                0.46928,                0.36434,                0.87084,                0.95635,                 1.2461,             0.00046448,             0.00046448,             0.00046448
                     42,                 0.7792,                0.75384,                 1.1305,                0.77947,                0.40052,                0.46689,                0.36813,                0.84773,                0.91323,                 1.2299,             0.00045686,             0.00045686,             0.00045686
                     43,                0.77614,                0.75366,                 1.1225,                0.76978,                0.40908,                0.49203,                0.39142,                0.85959,                0.94535,                 1.2413,             0.00044925,             0.00044925,             0.00044925
                     44,                0.78715,                0.76386,                 1.1433,                0.77439,                0.40619,                0.49444,                0.40503,                0.82097,                 0.9007,                 1.2202,             0.00044164,             0.00044164,             0.00044164
                     45,                0.76507,                0.71076,                 1.1153,                0.77646,                 0.4317,                0.48166,                0.38681,                0.83604,                0.90872,                 1.2271,             0.00043402,             0.00043402,             0.00043402
                     46,                0.75908,                0.72918,                 1.1226,                0.78042,                0.42838,                0.51386,                 0.4084,                0.85057,                0.87931,                 1.2157,             0.00042641,             0.00042641,             0.00042641
                     47,                0.76412,                 0.7254,                 1.1251,                0.78064,                0.43879,                 0.4914,                0.39274,                0.83449,                0.87318,                 1.2099,              0.0004188,              0.0004188,              0.0004188
                     48,                0.77198,                0.71292,                 1.1249,                0.76061,                0.42879,                0.50736,                 0.4128,                0.81506,                0.92424,                 1.1881,             0.00041118,             0.00041118,             0.00041118
                     49,                0.77463,                0.72848,                 1.1251,                0.77234,                0.42148,                0.49326,                0.39252,                0.80967,                0.85897,                 1.2089,             0.00040357,             0.00040357,             0.00040357
                     50,                0.72621,                0.69467,                 1.1084,                0.78556,                0.42556,                0.48342,                0.37691,                0.81154,                0.91248,                  1.176,             0.00039596,             0.00039596,             0.00039596
                     51,                0.74254,                0.70156,                 1.1098,                0.77362,                 0.4278,                0.49526,                0.39747,                0.80795,                 0.9343,                 1.1889,             0.00038835,             0.00038835,             0.00038835
                     52,                0.74264,                0.69236,                 1.1204,                0.78701,                0.42339,                0.51301,                0.41613,                 0.8376,                0.78165,                 1.2229,             0.00038073,             0.00038073,             0.00038073
                     53,                0.74691,                0.70961,                 1.1338,                0.76753,                0.42159,                0.48552,                0.39366,                0.79792,                0.86663,                 1.1792,             0.00037312,             0.00037312,             0.00037312
                     54,                0.72758,                0.67653,                 1.1037,                0.77129,                0.43388,                0.47439,                0.37388,                0.79324,                0.88885,                  1.183,             0.00036551,             0.00036551,             0.00036551
                     55,                0.72379,                 0.6674,                  1.108,                0.77792,                0.43321,                0.48334,                 0.3785,                0.82099,                0.85831,                 1.2199,             0.00035789,             0.00035789,             0.00035789
                     56,                 0.7199,                0.65992,                 1.0981,                0.80698,                0.42468,                0.48578,                0.39362,                0.77346,                0.87509,                 1.1619,             0.00035028,             0.00035028,             0.00035028
                     57,                0.71861,                0.66785,                 1.0995,                0.79641,                0.43051,                0.48369,                0.37976,                0.81952,                0.88192,                 1.1926,             0.00034267,             0.00034267,             0.00034267
                     58,                0.72644,                0.65821,                 1.1028,                0.75727,                 0.4278,                0.49353,                0.40226,                0.81531,                0.83878,                 1.1782,             0.00033505,             0.00033505,             0.00033505
                     59,                0.67563,                0.61374,                 1.0728,                0.41394,                0.50213,                0.49659,                0.39839,                0.78139,                0.84131,                 1.1461,             0.00032744,             0.00032744,             0.00032744
                     60,                0.69614,                0.62264,                 1.0772,                0.56139,                0.52752,                0.51535,                0.42065,                 0.7788,                0.86638,                 1.1464,             0.00031983,             0.00031983,             0.00031983
                     61,                0.67939,                0.61684,                 1.0839,                0.41882,                0.52341,                0.49763,                0.39422,                0.79838,                0.83914,                 1.1765,             0.00031221,             0.00031221,             0.00031221
                     62,                0.70254,                0.62638,                   1.07,                0.78123,                0.44978,                0.52014,                0.41248,                 0.7936,                0.82977,                 1.1861,              0.0003046,              0.0003046,              0.0003046
                     63,                0.71051,                0.64976,                  1.088,                0.78917,                0.43544,                0.53525,                0.42975,                0.79158,                0.76392,                 1.1858,             0.00029699,             0.00029699,             0.00029699
                     64,                0.68481,                0.62853,                 1.0871,                0.78383,                0.43467,                0.48902,                0.39223,                 0.7943,                0.81783,                 1.1754,             0.00028937,             0.00028937,             0.00028937
                     65,                0.67799,                0.59454,                 1.0751,                0.44336,                 0.5229,                0.50061,                 0.3874,                0.82672,                0.84113,                  1.191,             0.00028176,             0.00028176,             0.00028176
                     66,                 0.6873,                  0.613,                  1.067,                0.58765,                0.49026,                0.51637,                0.41099,                 0.7963,                0.78886,                 1.1783,             0.00027415,             0.00027415,             0.00027415
                     67,                0.66791,                0.57348,                 1.0633,                0.48714,                0.51615,                0.50265,                0.41473,                0.76456,                0.83909,                 1.1546,             0.00026654,             0.00026654,             0.00026654
                     68,                0.67563,                0.60337,                 1.0668,                0.45703,                0.54322,                0.49919,                0.41135,                0.77144,                0.76608,                 1.1544,             0.00025892,             0.00025892,             0.00025892
                     69,                0.66233,                 0.6147,                 1.0746,                0.48234,                0.53445,                0.52873,                0.44196,                0.76427,                0.78094,                 1.1546,             0.00025131,             0.00025131,             0.00025131
                     70,                0.65479,                0.55399,                 1.0591,                0.50527,                0.53138,                0.51663,                0.42608,                0.79662,                0.82896,                 1.1733,              0.0002437,              0.0002437,              0.0002437
                     71,                0.64108,                0.55732,                  1.041,                0.53479,                0.54775,                0.53065,                0.44084,                0.75466,                0.78185,                 1.1561,             0.00023608,             0.00023608,             0.00023608
                     72,                0.64352,                0.57618,                 1.0587,                0.46348,                 0.5241,                0.52886,                0.43679,                0.77701,                0.76887,                 1.1614,             0.00022847,             0.00022847,             0.00022847
                     73,                0.62971,                0.56041,                 1.0436,                0.43204,                0.55427,                0.52923,                0.43712,                0.74325,                0.78505,                 1.1497,             0.00022086,             0.00022086,             0.00022086
                     74,                0.65119,                0.56109,                  1.063,                0.43779,                0.54537,                0.51874,                0.42535,                0.75221,                0.74246,                 1.1529,             0.00021324,             0.00021324,             0.00021324
                     75,                0.65766,                 0.5623,                 1.0605,                0.42812,                0.55431,                0.50361,                0.41082,                0.78784,                0.78534,                 1.1646,             0.00020563,             0.00020563,             0.00020563
                     76,                0.66308,                0.58257,                 1.0646,                0.41413,                0.52545,                0.51104,                0.42578,                0.75664,                0.77593,                 1.1517,             0.00019802,             0.00019802,             0.00019802
                     77,                0.62983,                0.53947,                 1.0458,                0.44776,                0.53474,                0.51418,                0.43493,                0.74186,                0.78748,                  1.142,              0.0001904,              0.0001904,              0.0001904
                     78,                0.62975,                0.54286,                 1.0447,                0.65499,                0.47763,                0.51607,                0.42804,                0.74696,                0.78628,                 1.1459,             0.00018279,             0.00018279,             0.00018279
                     79,                0.62795,                0.53282,                 1.0493,                0.51998,                0.55015,                 0.5295,                0.44391,                 0.7386,                0.76783,                 1.1395,             0.00017518,             0.00017518,             0.00017518
                     80,                 0.6495,                0.55649,                 1.0641,                0.64764,                0.50952,                0.52083,                0.43503,                0.71688,                0.76708,                 1.1306,             0.00016757,             0.00016757,             0.00016757
                     81,                0.62928,                0.53127,                 1.0552,                0.64746,                0.51157,                0.52155,                0.43562,                0.74117,                0.74923,                 1.1441,             0.00015995,             0.00015995,             0.00015995
                     82,                0.63645,                0.54476,                 1.0514,                 0.6806,                 0.5172,                0.54045,                0.45743,                0.72584,                0.72107,                 1.1354,             0.00015234,             0.00015234,             0.00015234
                     83,                0.62436,                0.53345,                 1.0385,                 0.6631,                 0.5036,                0.53364,                 0.4508,                0.71927,                  0.699,                 1.1252,             0.00014473,             0.00014473,             0.00014473
                     84,                0.61372,                0.52445,                 1.0542,                0.66603,                0.48673,                0.51716,                0.43353,                0.72555,                0.73487,                 1.1364,             0.00013711,             0.00013711,             0.00013711
                     85,                 0.6253,                0.53769,                 1.0463,                0.66363,                 0.5126,                0.52625,                 0.4363,                0.72818,                0.73876,                 1.1313,              0.0001295,              0.0001295,              0.0001295
                     86,                  0.602,                0.51783,                 1.0434,                0.68059,                0.51784,                0.53307,                0.45009,                 0.7194,                0.69106,                 1.1243,             0.00012189,             0.00012189,             0.00012189
                     87,                0.60608,                0.51878,                 1.0415,                0.48993,                0.56014,                0.52192,                0.44076,                0.73194,                0.72514,                 1.1252,             0.00011427,             0.00011427,             0.00011427
                     88,                0.60729,                0.52013,                 1.0311,                0.65702,                0.50701,                0.49981,                0.41781,                0.72709,                0.75243,                 1.1135,             0.00010666,             0.00010666,             0.00010666
                     89,                0.59299,                0.51126,                  1.023,                0.65169,                0.50849,                0.50713,                0.41765,                 0.7357,                0.73106,                 1.1178,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.58473,                0.49424,                 1.0264,                  0.481,                0.51169,                0.50968,                0.43066,                0.71178,                0.72477,                 1.1065,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.47624,                0.41204,                0.97128,                0.70923,                0.50643,                0.52538,                0.43124,                0.74796,                0.74894,                 1.1363,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.46123,                0.39021,                0.97208,                 0.8698,                0.50272,                0.51721,                0.42605,                0.74784,                0.75578,                 1.1422,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.45399,                0.38317,                0.96998,                0.65899,                0.55221,                0.52406,                0.43694,                0.73213,                0.75648,                 1.1338,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.44796,                0.36274,                0.95799,                0.52274,                0.54633,                0.53063,                0.44122,                0.73349,                0.77045,                 1.1313,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.45309,                0.36933,                 0.9786,                 0.4753,                0.55427,                0.52449,                0.44028,                0.73405,                0.76601,                 1.1322,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.43932,                0.36092,                0.96445,                0.69419,                0.55221,                0.53259,                0.45127,                0.72666,                0.76668,                 1.1255,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.44357,                0.35581,                0.94482,                0.69006,                0.54913,                0.55451,                 0.4742,                 0.7256,                0.76613,                 1.1267,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.42973,                0.35362,                0.94812,                 0.5083,                0.55201,                0.52846,                 0.4506,                0.72019,                0.75632,                 1.1227,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                 0.4257,                0.35286,                0.95117,                0.49773,                0.55118,                0.52832,                0.44708,                0.71524,                0.74774,                 1.1203,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.42575,                0.34928,                0.95595,                0.67481,                0.55207,                0.52899,                0.44852,                0.71296,                 0.7469,                 1.1173,             1.5303e-05,             1.5303e-05,             1.5303e-05
